code,name
1,Thành phố Cần Thơ
2,Tỉnh Long An
3,Tỉnh Tiền Giang
4,Tỉnh Bến Tre
5,Tỉnh Trà Vinh
6,Tỉnh Vĩnh Long
7,Tỉnh Đồng Tháp
8,Tỉnh An Giang
9,Tỉnh Kiên Giang
10,Tỉnh Hậu Giang
11,Tỉnh Sóc Trăng
12,Tỉnh Bạc Liêu
13,Tỉnh Cà Mau
14,Thành phố Hà Nội
15,Tỉnh Hà Giang
16,Tỉnh Cao Bằng
17,Tỉnh Bắc Kạn
18,Tỉnh Tuyên Quang
19,Tỉnh Lào Cai
20,Tỉnh Điện Biên
21,Tỉnh Lai Châu
22,Tỉnh Sơn La
23,Tỉnh Yên Bái
24,Tỉnh Hòa Bình
25,Tỉnh Thái Nguyên
26,Tỉnh Lạng Sơn
27,Tỉnh Quảng Ninh
28,Tỉnh Bắc Giang
29,Tỉnh Phú Thọ
30,Tỉnh Vĩnh Phúc
31,Tỉnh Bắc Ninh
32,Tỉnh Hải Dương
33,Thành phố Hải Phòng
34,Tỉnh Hưng Yên
35,Tỉnh Thái Bình
36,Tỉnh Hà Nam
37,Tỉnh Nam Định
38,Tỉnh Ninh Bình
39,Tỉnh Thanh Hóa
40,Tỉnh Nghệ An
41,Tỉnh Hà Tĩnh
42,Tỉnh Quảng Bình
43,Tỉnh Quảng Trị
44,Tỉnh Thừa Thiên Huế
45,Thành phố Đà Nẵng
46,Tỉnh Quảng Nam
47,Tỉnh Quảng Ngãi
48,Tỉnh Bình Định
49,Tỉnh Phú Yên
50,Tỉnh Khánh Hòa
51,Tỉnh Ninh Thuận
52,Tỉnh Bình Thuận
53,Tỉnh Kon Tum
54,Tỉnh Gia Lai
55,Tỉnh Đắk Lắk
56,Tỉnh Đắk Nông
57,Tỉnh Lâm Đồng
58,Tỉnh Bình Phước
59,Tỉnh Tây Ninh
60,Tỉnh Bình Dương
61,Tỉnh Đồng Nai
62,Tỉnh Bà Rịa - Vũng Tàu
63,Thành phố Hồ Chí Minh
